date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2019-05-23,11,11,2.0,bullish,0,0,0,0,1
2019-05-24,20,19,2.0,bullish,0,0,0,0,1
2019-05-27,16,15,0.0,neutral,0,0,0,0,1
2019-05-28,24,23,1.0,bullish,0,0,0,1,1
2019-05-29,21,20,-2.3,bearish,0,1,0,0,1
2019-05-30,23,20,0.0,neutral,0,0,0,0,1
2019-05-31,34,32,7.8,bullish,0,0,0,0,1
2019-06-03,2,2,-2.0,bearish,0,0,0,0,1
2019-06-07,7,6,1.0,bullish,0,0,0,0,1
2019-06-10,17,15,2.0,bullish,0,0,0,0,1
2019-06-11,24,23,-1.0,bearish,0,0,0,1,1
2019-06-12,21,19,1.0,bullish,0,0,0,0,0
2019-06-13,17,16,-0.19999999999999996,neutral,0,0,0,0,1
2019-06-14,15,14,0.0,neutral,0,0,0,0,0
2019-06-17,20,20,4.5,bullish,0,1,0,0,1
2019-06-18,15,13,4.7,bullish,0,1,0,0,1
2019-06-19,34,33,-6.8,bearish,0,0,0,1,1
2019-06-20,23,23,-11.0,bearish,0,0,0,1,1
2019-06-21,32,29,-9.8,bearish,0,0,0,1,1
2019-06-24,12,12,-4.0,bearish,0,0,0,0,1
2019-06-25,35,33,-2.0,bearish,0,0,0,0,1
2019-06-26,18,18,-13.0,bearish,0,0,0,0,1
2019-06-27,11,11,-8.0,bearish,0,0,0,0,1
2019-06-28,25,25,-1.5,bearish,0,1,0,0,1
2019-07-01,21,19,-14.0,bearish,0,0,0,0,1
2019-07-02,18,18,-10.0,bearish,0,0,0,0,1
2019-07-03,10,9,0.0,neutral,0,0,0,0,1
2019-07-04,25,23,-10.0,bearish,0,0,0,0,1
2019-07-05,22,22,-4.0,bearish,0,0,0,0,1
2019-07-08,16,14,-3.0,bearish,0,0,0,0,1
2019-07-09,18,18,-5.0,bearish,0,0,0,0,1
2019-07-10,18,17,-8.0,bearish,0,0,0,0,1
2019-07-11,14,14,-5.0,bearish,0,0,0,0,1
2019-07-12,17,15,-3.0,bearish,0,0,0,0,0
2019-07-14,1,1,0.0,neutral,0,0,0,0,0
2019-07-16,19,19,-11.0,bearish,0,0,0,0,0
2019-07-17,18,17,-9.0,bearish,0,0,0,0,1
2019-07-18,26,25,-3.0,bearish,0,0,0,1,1
2019-07-19,13,12,-7.0,bearish,0,0,0,1,0
2019-07-22,10,10,-1.0,bearish,0,0,0,1,0
2019-07-23,36,33,4.0,bullish,1,0,0,0,1
2019-07-24,14,14,-0.7,neutral,1,0,0,0,1
2019-07-25,19,17,-8.0,bearish,1,0,0,0,0
2019-07-26,26,24,5.5,bullish,1,1,0,1,1
2019-07-27,3,2,0.0,neutral,0,0,0,0,0
2019-07-29,14,12,2.0,bullish,1,0,0,1,0
2019-07-30,29,24,-2.0,bearish,1,0,0,0,0
2019-07-31,28,24,12.5,bullish,1,1,0,1,1
2019-08-01,26,22,0.0,neutral,1,0,0,0,1
2019-08-02,25,23,-3.2,bearish,1,0,0,0,1
2019-08-05,13,13,-4.0,bearish,0,0,0,0,1
2019-08-06,27,22,-3.0,bearish,1,0,0,0,1
2019-08-07,19,15,2.0,bullish,1,0,0,1,1
2019-08-08,67,58,-13.0,bearish,1,0,0,0,1
2019-08-09,40,36,-10.0,bearish,1,0,0,0,1
2019-08-15,5,2,1.0,bullish,1,0,0,0,0
2019-08-16,9,9,-4.0,bearish,0,0,0,0,0
2019-08-19,3,3,2.0,bullish,0,0,0,0,1
2019-08-20,19,18,-7.0,bearish,0,0,0,0,1
